10191559322;999;0;0;
10191611414;999;0;0;
11093947740;999;0;5;
11094046083;999;0;10;8594005008083
11094056188;999;0;10;8594005008083
11094118225;999;0;15;8594005008083
11094316499;999;0;5;8594005008083
11094406607;999;0;5;8594005008083
11094425423;999;0;20;8594005008083
11094507851;999;0;6;8594005008083
11095253254;999;0;5;
11095559453;999;0;7;
11100312398;999;0;2;8594005008083
11100320148;999;0;5;8594005008083
11100438445;999;0;6;8594005008083
11100559903;999;0;3;8594005008083
11100644219;999;0;8;8594005008083
11101045390;999;0;4;
11101328290;999;0;2;8594005008083
11101338914;999;0;2;8594005008083
11101459686;999;0;3;8594005008083
11101648629;999;0;1;8594005008083
11101800639;999;0;5;8594005008083
11101903716;999;0;3;8594005008083
11101928435;999;0;4;8594005008083
11101937216;999;0;6;8594005008083
11102434642;999;0;3;8594005008083
11102439867;999;0;4;8594005008083
11103647991;999;0;5;
11104049274;999;0;4;
11104105796;999;0;6;
11104110887;999;0;4;
11104238574;999;0;2;8594005008083
11104245734;999;0;5;8594005008083
11104258748;999;0;1;8594005008083
11104312067;999;0;2;8594005008083
11124149846;999;0;5;
01101341974;2;0;10;
01101613479;2;0;7;
01101631911;2;0;5;
01101701938;2;0;10;
01101757954;2;0;5;
01101822359;2;0;6;
01104826479;3;0;5;
01104915924;3;0;2;8594005008083
01104921501;3;0;5;8594005008083
01105006478;3;0;5;8594005008083
01105102826;3;0;3;8594005008083
01105303720;3;0;3;8594005008083
01105439326;3;0;3;8594005008083
09101345808;999;0;0;
09101451146;2;0;0;
09101531193;2;0;10;
09101604086;2;0;0;
09101649902;2;0;5;8594005008083
09101654731;2;0;11;8594005008083
09101912229;999;0;0;
09101921920;33;0;0;
09101951377;33;0;5;
09102018088;33;15;0;
09102018122;33;0;6;
09102050296;33;0;0;
09102050521;33;0;0;
09102058092;34;0;0;
09102148872;34;0;5;8594005008083
09102210230;34;12;0;8594005008083
09102210240;34;0;13;8594005008083
09102215610;34;0;0;
09102215747;34;0;0;
09102852628;999;0;0;
09102901445;352;0;0;
09102949927;352;0;3;8594005008083
09102955337;352;0;10;8594005008083
09103026470;352;44;0;8594005008083
09103026661;352;0;5;8594005008083
09103035009;352;0;0;
09103035186;352;0;0;
09103821099;999;0;0;
09103830403;22;0;0;
09103913570;22;0;4;8594005008083
09103929958;22;66;0;8594005008083
09103929970;22;0;10;8594005008083
09103933973;22;0;0;
09103934165;22;0;0;
09104129105;999;0;0;
09104142995;88;0;0;
09104218203;88;0;7;
09104221942;88;0;0;
09104227625;88;0;12;
09104230316;88;0;3;
09104244010;88;10;0;
09104244019;88;0;4;
09104252659;88;0;0;
09104252880;88;0;0;
09124110930;999;0;0;
09124121683;33;0;0;
09124704912;999;0;0;
09124715635;33;0;0;
09124757863;999;0;0;
09124807818;33;0;0;
09124840003;999;0;0;
09124849340;33;0;0;
09124938597;999;0;0;
09125002385;33;0;0;
21090838479;999;0;0;
21091100097;2;0;0;
21091211225;2;0;10;8594005006744
21093132490;999;0;0;
21093216231;999;0;0;
21093236047;3;0;0;
21093301564;3;0;0;
19121133865;99;0;4;8594005006744
19121158735;99;0;5;8594005006744
19125126431;999;0;0;
19125137394;99;0;0;
19125250903;99;0;3;8594005006744
19130003517;999;0;0;
19130014427;99;0;0;
19130101778;99;0;2;8594005006744
19130523445;999;0;0;
19130532499;99;0;0;
19131129318;99;0;5;
19132030418;999;0;0;
19132039678;99;0;0;
19132231583;99;0;1;
19132707874;999;0;0;
19132724216;99;0;0;
19133125314;99;0;0;
19133125382;99;0;0;
19133131206;99;0;0;
19133131455;99;0;0;
19133140546;99;0;0;
19133305861;99;0;0;
19133305933;99;0;0;
19133310150;99;0;0;
19133310282;99;0;0;
19133318132;99;0;0;
19133738478;999;0;0;
19135931162;999;0;0;
19135942758;99;0;0;
19141028986;99;0;3;
19144547989;999;0;0;
19144558979;99;0;0;
19144803269;99;0;6;
19144803787;99;0;0;
19144803950;99;0;0;
19144804112;99;0;0;
19144804290;99;0;0;
19144804461;99;0;0;
19144804629;99;0;0;
19144804810;99;0;0;
19144804986;99;0;0;
24150131857;999;0;0;
24153539251;999;0;0;
24154100264;999;0;0;
27090627144;999;0;0;
27090642954;99;0;0;
27090738753;99;0;0;
27090738817;99;0;0;
27101919408;999;0;0;
27101929494;99;0;0;
27102008147;99;0;8;
27102046426;99;0;2;8594005006744
27102051307;99;0;7;8594005006744
27102058662;99;0;5;8594005006744
27102114869;99;0;0;8594005006744
27102114879;99;0;0;8594005006744
27102114910;99;0;0;
27102217835;99;0;5;
27102226566;99;0;0;
27102226578;99;0;0;
27102312604;99;0;0;
27102312617;99;0;0;
27104921444;999;0;0;
27105621983;999;0;0;1234567890123
27105624522;999;0;0;1234567890123
27105627882;999;0;0;1234567890123
27105705355;999;0;0;
12094633899;999;0;0;
12094640515;999;0;1;
12094734418;999;0;0;
12094739014;999;0;1;
12094755872;999;0;1;
12094907793;998;0;1;
15091307260;2;0;6;
15091318730;2;0;6;
15091325070;2;0;4;
15091520045;2;0;5;
15091530666;2;0;7;
15091533412;2;0;3;
15091616503;2;0;4;
15092059879;9;0;1;1234567890123
15092545279;9;0;5;
15092552313;9;0;10;
15092555491;9;0;2;
15092557333;9;0;3;
